algorithm,feature_set,params,n_clusters,inertia,noise_ratio
agglomerative,numeric_plus_gender,"{""linkage"": ""single"", ""n_clusters"": 4}",4,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""ward"", ""n_clusters"": 5}",5,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""complete"", ""n_clusters"": 5}",5,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""average"", ""n_clusters"": 5}",5,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""single"", ""n_clusters"": 5}",5,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""ward"", ""n_clusters"": 6}",6,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""complete"", ""n_clusters"": 6}",6,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""average"", ""n_clusters"": 6}",6,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""single"", ""n_clusters"": 6}",6,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""ward"", ""n_clusters"": 7}",7,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""complete"", ""n_clusters"": 7}",7,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""average"", ""n_clusters"": 7}",7,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""single"", ""n_clusters"": 7}",7,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""ward"", ""n_clusters"": 8}",8,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""complete"", ""n_clusters"": 8}",8,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""average"", ""n_clusters"": 8}",8,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""single"", ""n_clusters"": 8}",8,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""ward"", ""n_clusters"": 9}",9,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""complete"", ""n_clusters"": 9}",9,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""average"", ""n_clusters"": 9}",9,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""single"", ""n_clusters"": 9}",9,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""ward"", ""n_clusters"": 10}",10,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""complete"", ""n_clusters"": 10}",10,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""average"", ""n_clusters"": 10}",10,,0.0
agglomerative,numeric_plus_gender,"{""linkage"": ""single"", ""n_clusters"": 10}",10,,0.0
dbscan,numeric_plus_gender,"{""eps"": 0.3, ""min_samples"": 3}",14,,0.7171717171717171
dbscan,numeric_plus_gender,"{""eps"": 0.3, ""min_samples"": 4}",4,,0.8838383838383839
dbscan,numeric_plus_gender,"{""eps"": 0.3, ""min_samples"": 5}",1,,0.9696969696969697
dbscan,numeric_plus_gender,"{""eps"": 0.3, ""min_samples"": 8}",0,,1.0
dbscan,numeric_plus_gender,"{""eps"": 0.3, ""min_samples"": 10}",0,,1.0
dbscan,numeric_plus_gender,"{""eps"": 0.4, ""min_samples"": 3}",17,,0.494949494949495
